baker,series,episode,technical,result,signature_bake,show_stopper,baker_age,baker_occupation,hometown
Sandy,6,10,NA,NA,NA,NA,49,Child welfare officer,"Yeadon, West Yorkshire"
Stu,6,10,NA,NA,NA,NA,35,Professional musician,"Guildford, Surrey"
Ugnė,6,10,NA,NA,NA,NA,32,PA and administrator,"Woodford, London / Vilkaviškis, Lithuania"
Andrew,7,1,12,IN,Lemon and Rosemary Drizzle Cake,'Ultimate Indulgence' Mirror Glaze Cake,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina,7,1,6,IN,"Pistachio, Cardamom and Lemon Drizzle Cake",White Chocolate Mirror Glaze with Salted Praline Buttercream,23,Teaching assistant,South London
Candice,7,1,5,IN,Raspberry and Rhubarb Drizzle Custard Bundt Cake,"Mirror Mirror On The Wall, Who Is The Shiniest Cake Of Them All?",31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Kate,7,1,4,IN,Berry Best Apple and Bramble Drizzle Cake,One Swallow Does Not Make A Summer Cake,37,Nurse,"Brooke, Norfolk"
Louise,7,1,9,IN,Orange Liqueur and Lemonade Drizzle Cake,White Chocolate Trifle Mirror Glaze Cake,46,Hairdresser,Cardiff
Michael,7,1,3,IN,"Lime, Ginger and Honey Drizzle Cake",Matcha Tea Chocolate Mirror Glaze,20,Student,Durham
Rav,7,1,8,IN,Ginger Spice Yuzu Drizzle Cake,Colombian Mocha Mirror Glaze Cake,28,Student support,Erith
Selasi,7,1,1,IN,Citrus and Spice Drizzle Cake,"Raspberry, Sloe and White Chocolate Mirror Glaze Cake",30,Client service associate,London
Tom,7,1,2,IN,G&T Drizzle Cake,Black Forest Broken Mirror,26,Project engagement manager,Rochdale
Val,7,1,10,IN,Mum's Orange and Lemon Drizzle,Chocolate Sponge with Four Fruit Frosting,66,"Semi-retired, Substitute teacher",Yeovil
Lee,7,1,11,OUT,St. Clements Orange and Lemon Drizzle Cake,Strawberry Surprise Mirror Cake,67,Pastor,Bolton
Jane,7,1,7,STAR BAKER,Lemon and Poppy Seed Drizzle Cake,Chocolate Orange Mirror Cake,61,Garden designer,Beckenham
Andrew,7,2,4,IN,Beehive Biscuits,Punting in Cambridge,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina,7,2,3,IN,Bouquet Biscuits,"New York, New York",23,Teaching assistant,South London
Jane,7,2,2,IN,Flower Pot Iced Biscuits,Hastings Old Town Fishing Net Shops and Boat,61,Garden designer,Beckenham
Kate,7,2,1,IN,"""A Biscuit for the Broads""","""I Promise I will do my best""",37,Nurse,"Brooke, Norfolk"
Michael,7,2,9,IN,"Malt, Chocolate and Orange Iced ""Beer"" Biscuits",Trip to See Santa in Lapland,20,Student,Durham
Rav,7,2,6,IN,Union Jack Bunting Biscuits,Gingerbread Christmas Fairground,28,Student support,Erith
Selasi,7,2,11,IN,"""Wheelie Hot Iced Biscuits""",Stained Glass Window Gingerbread Church,30,Client service associate,London
Tom,7,2,7,IN,Chai Frappelatteccino Biscuits,Tom and Pod's Near Death Experience,26,Project engagement manager,Rochdale
Val,7,2,5,IN,Sunday Treat Iced Ice Cream Cone Biscuits,From Holland to New York via Yorkshire,66,"Semi-retired, Substitute teacher",Yeovil
Louise,7,2,10,OUT,Baa Bara Brith Biscuits,Gingerbread Wedding,46,Hairdresser,Cardiff
Candice,7,2,8,STAR BAKER,"Salted Caramel, Chocolate Iced Shiny Hearts",Gingerbread Pub with Sticky Ginger Carpet,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Lee,7,2,NA,NA,NA,NA,67,Pastor,Bolton
Andrew,7,3,2,IN,Chocolate Barmbrack Bread,Braided Harvest Bread Basket,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina,7,3,6,IN,"Chocolate, Tahini and Almond Babka",Braided Bread Heart,23,Teaching assistant,South London
Candice,7,3,3,IN,"Chocolate, Salted Caramel & Pecan Brittle Brioche Loaf",Italian Light and Dark Rye Twist,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Jane,7,3,9,IN,Chocolate and Cranberry Couronne,Chorizo and Chilli Flower with Parmesan and Pesto Centre,61,Garden designer,Beckenham
Kate,7,3,8,IN,Cobbled Loaf,The Corn Maiden,37,Nurse,"Brooke, Norfolk"
Rav,7,3,10,IN,"Chocolate, Cardamom and Hazelnut Loaf",Three Tier Diwali Bread Centrepiece,28,Student support,Erith
Selasi,7,3,5,IN,"Chocolate, Orange and Cinnamon Bread",Bedouin Escape Tear and Share Bread,30,Client service associate,London
Val,7,3,1,IN,Double Chocolate Cinnamon Twist Loaf,"""And They All Went Into The Ark To Get Out Of The Rain""",66,"Semi-retired, Substitute teacher",Yeovil
Michael,7,3,7,OUT,Chocolate and Chilli Swirl Plait,Cypriot Dove and Olive Branch Plaited Loaf with Houmous,20,Student,Durham
Tom,7,3,4,STAR BAKER,Chocolate Orange and Chilli Swirl Bread,Jörmungandr and Mjölnir,26,Project engagement manager,Rochdale
Lee,7,3,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,3,NA,NA,NA,NA,46,Hairdresser,Cardiff
Andrew,7,4,4,IN,Yorkshire 'Tapas' Puddings,Churros Window Box,25,Aerospace engineer,"Derby / Holywood, County Down"
Candice,7,4,2,IN,Yorkshire Wellingtons,Two-Way Peanut Butter Churros,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Jane,7,4,3,IN,Meat and Two Veg Yorkshires,Pistachio and White Chocolate Churros,61,Garden designer,Beckenham
Rav,7,4,9,IN,Thai Tofu Panang Yorkshires,Three Dip Matcha Pistachio Churros,28,Student support,Erith
Selasi,7,4,8,IN,Perfect Sunday Roast Accompaniment,Lemon and Anise Churros,30,Client service associate,London
Tom,7,4,5,IN,West Yorkshire Fusion Puddings,Fennel Churros Snake In The Grass,26,Project engagement manager,Rochdale
Val,7,4,6,IN,Mum's Chilli Yorkshire Puddings,Orange Chocolate Churros,66,"Semi-retired, Substitute teacher",Yeovil
Kate,7,4,7,OUT,Christmas Dinner Compromise,Hot Cross Bunny Churros,37,Nurse,"Brooke, Norfolk"
Benjamina,7,4,1,STAR BAKER,"Red Onion Chutney, Brie and Bacon Yorkshire Puddings",Tropical Churros,23,Teaching assistant,South London
Lee,7,4,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,4,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,4,NA,NA,NA,NA,20,Student,Durham
Andrew,7,5,6,IN,Mum and Dad's Breakfast Pastries,Spicy Chorizo Squash Parcels and Baklava Bites,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina,7,5,5,IN,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,Plantain and Spinach Samosas and Chai Pear Cups,23,Teaching assistant,South London
Jane,7,5,1,IN,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish","Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",61,Garden designer,Beckenham
Rav,7,5,8,IN,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,28,Student support,Erith
Selasi,7,5,3,IN,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels","Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",30,Client service associate,London
Tom,7,5,4,IN,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,Yin and Yang Amuse-bouche,26,Project engagement manager,Rochdale
Val,7,5,7,OUT,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls","Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",66,"Semi-retired, Substitute teacher",Yeovil
Candice,7,5,2,STAR BAKER,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish","Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Kate,7,5,NA,NA,NA,NA,37,Nurse,"Brooke, Norfolk"
Lee,7,5,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,5,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,5,NA,NA,NA,NA,20,Student,Durham
Andrew,7,6,6,IN,Tangy Lime and Ginger Meringue Pie,Spring Elderflower Trio,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina,7,6,2,IN,Grapefruit and Ginger Meringue Pie,Floral Tea Cake,23,Teaching assistant,South London
Candice,7,6,5,IN,"Lime, Coconut and Lemongrass Sugar Meringue Pie",Four Seasons Cake,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Jane,7,6,4,IN,Lime and Coconut Meringue Pie,Three Tier Orange Cake with a Floral Chocolate Collar,61,Garden designer,Beckenham
Selasi,7,6,7,IN,"Grapefruit, Orange and Mint Meringue Pie",Three Tiered Ombré Floral Cake,30,Client service associate,London
Rav,7,6,3,OUT,Mandarin Margarita Meringue Pie,Blossom Cake,28,Student support,Erith
Tom,7,6,1,STAR BAKER,Blood Orange Halloween Pumpkin Pie,Floral Tea Cake,26,Project engagement manager,Rochdale
Kate,7,6,NA,NA,NA,NA,37,Nurse,"Brooke, Norfolk"
Lee,7,6,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,6,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,6,NA,NA,NA,NA,20,Student,Durham
Val,7,6,NA,NA,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil
Benjamina,7,7,3,IN,Piña Colada Roulade,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,23,Teaching assistant,South London
Candice,7,7,2,IN,Crowd Pleaser Roulade,Blackberry and Raspberry Bubbles and After Dinner Mousse,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Jane,7,7,4,IN,Chocolate and Hazelnut Roulade,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",61,Garden designer,Beckenham
Selasi,7,7,6,IN,Summer Picnic Roulade,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",30,Client service associate,London
Tom,7,7,5,OUT,Millionaire's Roulade,Hipster Picnic,26,Project engagement manager,Rochdale
Andrew,7,7,1,STAR BAKER,Tropical Holiday Roulade,Childhood Ice Cream Mousse Cakes,25,Aerospace engineer,"Derby / Holywood, County Down"
Kate,7,7,NA,NA,NA,NA,37,Nurse,"Brooke, Norfolk"
Lee,7,7,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,7,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,7,NA,NA,NA,NA,20,Student,Durham
Rav,7,7,NA,NA,NA,NA,28,Student support,Erith
Val,7,7,NA,NA,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil
Andrew,7,8,2,IN,Da Vinci Inspired Geared Pies,Jousting Knights Marchpane,25,Aerospace engineer,"Derby / Holywood, County Down"
Jane,7,8,5,IN,Tudor Rose Pies,Swans,61,Garden designer,Beckenham
Selasi,7,8,3,IN,Bouquet of Flowers,Fruity Tudor Marchpane,30,Client service associate,London
Benjamina,7,8,4,OUT,Mexican Adventure,Tudor Garden,23,Teaching assistant,South London
Candice,7,8,1,STAR BAKER,Cheesy Cheeky Fish Pies,Peacock,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Kate,7,8,NA,NA,NA,NA,37,Nurse,"Brooke, Norfolk"
Lee,7,8,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,8,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,8,NA,NA,NA,NA,20,Student,Durham
Rav,7,8,NA,NA,NA,NA,28,Student support,Erith
Tom,7,8,NA,NA,NA,NA,26,Project engagement manager,Rochdale
Val,7,8,NA,NA,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil
Candice,7,9,3,IN,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Jane,7,9,1,IN,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,61,Garden designer,Beckenham
Selasi,7,9,4,OUT,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,30,Client service associate,London
Andrew,7,9,2,STAR BAKER,Cheesy Elephant Ears and Herby Treble Clefs,Philharmonic Fondants,25,Aerospace engineer,"Derby / Holywood, County Down"
Benjamina,7,9,NA,NA,NA,NA,23,Teaching assistant,South London
Kate,7,9,NA,NA,NA,NA,37,Nurse,"Brooke, Norfolk"
Lee,7,9,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,9,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,9,NA,NA,NA,NA,20,Student,Durham
Rav,7,9,NA,NA,NA,NA,28,Student support,Erith
Tom,7,9,NA,NA,NA,NA,26,Project engagement manager,Rochdale
Val,7,9,NA,NA,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil
Andrew,7,10,1,Runner-up,Crunchy Caramel Cassis Crown,Family and Friends' Favourites Picnic,25,Aerospace engineer,"Derby / Holywood, County Down"
Jane,7,10,3,Runner-up,"Red, White and Blue Meringue Crown",Family Favourites Feast,61,Garden designer,Beckenham
Candice,7,10,2,WINNER,Queen Victoria's Mango and Strawberry Crown,Picnic for Pearly Kings and Queens,31,PE teacher,"Barton-Le-Clay, Bedfordshire"
Benjamina,7,10,NA,NA,NA,NA,23,Teaching assistant,South London
Kate,7,10,NA,NA,NA,NA,37,Nurse,"Brooke, Norfolk"
Lee,7,10,NA,NA,NA,NA,67,Pastor,Bolton
Louise,7,10,NA,NA,NA,NA,46,Hairdresser,Cardiff
Michael,7,10,NA,NA,NA,NA,20,Student,Durham
Rav,7,10,NA,NA,NA,NA,28,Student support,Erith
Selasi,7,10,NA,NA,NA,NA,30,Client service associate,London
Tom,7,10,NA,NA,NA,NA,26,Project engagement manager,Rochdale
Val,7,10,NA,NA,NA,NA,66,"Semi-retired, Substitute teacher",Yeovil
Chris,8,1,12,IN,Tropical Fresh Fruit Cake,'Raised Pork Pie and Egg Surprise' Cake,50,Software developer,Bristol
Flo,8,1,9,IN,Citrus Layer Cake,'One in a Melon' Cake,71,Retired,Merseyside
James,8,1,2,IN,"Orange, Rhubarb & Ginger Crumble Cake",'Mock-accino and Croissant' Cake,46,Banker,"Brentwood, Essex"
Julia,8,1,3,IN,Courgette and Lemon Cake,'Russian Doll' Cake,21,Aviation Broker,"Crawley, West Sussex"
Kate,8,1,1,IN,Moroccan Strawberry and Rose Cake,'Chocolate Terrarium' Cake,29,Health and safety inspector,Merseyside
Liam,8,1,8,IN,Apple and Almond Crumble Maple Loaf,'Stackin' Sunday' Cake,19,Student,North London
Sophie,8,1,5,IN,Pineapple and Coconut Sandwich Cake,'Champagne Bottle and Bucket' Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,8,1,11,IN,Granny Smith Apple and Walnut Cake,'Black Evening Clutch Bag' Cake,42,Former school teacher,"Radlett, Hertfordshire"
Tom,8,1,7,IN,Gilded Pear and Cardamom Cake,'Stack of Books' Cake,29,Architect,Edinburgh
Yan,8,1,4,IN,Windfall Apple Crumble Cake,'Banana-ramen' Cake,46,Laboratory research scientist,North London
Peter,8,1,10,OUT,Coconut Cake,'Bread on a Breadboard' Cake,52,IT programme manager,"Southend, Essex"
Steven,8,1,6,STAR BAKER,Bonfire Night Cake,'A Baker's Lunch' Cake,34,Marketer,"Watford, Hertfordshire"
Flo,8,2,10,IN,Gin Jam Butties,'Pick My Bones' Game,71,Retired,Merseyside
James,8,2,3,IN,Rhubarb and Custard Whirls,'Coppit' Game,46,Banker,"Brentwood, Essex"
Julia,8,2,4,IN,Middle Eastern Delight Sandwich Biscuits,'A British Baking' Game,21,Aviation Broker,"Crawley, West Sussex"
Kate,8,2,8,IN,Coconut Seashells for a Titanic Afternoon Tea,'Jungle' Game,29,Health and safety inspector,Merseyside
Liam,8,2,7,IN,Coffee Malted Pecan Shorties,'Classroom Classics' Game,19,Student,North London
Sophie,8,2,2,IN,Lemon Limoncino Sandwich Biscuits,'Snakes and Ladders' Game,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,8,2,9,IN,Sparkly Chocolate and Marshmallow Fluff Cookies,'Get to School' Game,42,Former school teacher,"Radlett, Hertfordshire"
Tom,8,2,5,IN,Coffee and Amaretto Kisses,'Drain Pipes and Ladders' Game,29,Architect,Edinburgh
Yan,8,2,1,IN,'Mrs. Marian's PB 'n' B' Biscuits,'Adventures in Bakeland' Game,46,Laboratory research scientist,North London
Chris,8,2,11,OUT,Chocolate Chia Seed Biscuits with Whisky Caramel Filling,'The Great British Sail Off' Game,50,Software developer,Bristol
Steven,8,2,6,STAR BAKER,Amarpressi Biscuits,'Check Bake' Game,34,Marketer,"Watford, Hertfordshire"
Peter,8,2,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
James,8,3,9,IN,Nordic Teacakes,'Owl in the Woods' Bread Sculpture,46,Banker,"Brentwood, Essex"
Kate,8,3,10,IN,Blueberry Buns,'Kraken' Bread Sculpture,29,Health and safety inspector,Merseyside
Liam,8,3,5,IN,Jamaican Spiced Teacakes,'Kneadapolitan' Bread Sculpture,19,Student,North London
Sophie,8,3,6,IN,Tagine Teacakes,'Picnic Basket' Bread Sculpture,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,8,3,1,IN,Cranberry and Cinnamon Teacakes,'Ascot Hat' Bread Sculpture,42,Former school teacher,"Radlett, Hertfordshire"
Steven,8,3,3,IN,Madras Cocktail Teacakes,'The Bag I Knead' Bread Sculpture,34,Marketer,"Watford, Hertfordshire"
Tom,8,3,4,IN,Orange and Cranberry Teacakes,'Pink & Yellow Rose Centrepiece' Bread Sculpture,29,Architect,Edinburgh
Yan,8,3,8,IN,'Mrs P's' Masala Chai Spiced Teacakes,'Basil the Vegetarian Dragon with his Pumpkin Hoard' Bread Sculpture,46,Laboratory research scientist,North London
Flo,8,3,7,OUT,Cinnamon and Orange Teacakes,'Davy Jones' Locker' Bread Sculpture,71,Retired,Merseyside
Julia,8,3,2,STAR BAKER,Earl Grey Dried Fruit Teacakes,'The Snail Under a Mushroom' Bread Sculpture,21,Aviation Broker,"Crawley, West Sussex"
Chris,8,3,NA,NA,NA,NA,50,Software developer,Bristol
Peter,8,3,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
James,8,4,2,IN,'Windy City' Millionaire Shortbreads,Nutty Caramel Cake,46,Banker,"Brentwood, Essex"
Julia,8,4,9,IN,Pecan Salted Caramel Millionaire Shortbreads,Poppy Seed Caramel Cake,21,Aviation Broker,"Crawley, West Sussex"
Liam,8,4,3,IN,Salted Peanut Butter Millionaire Shortbreads,White Layered Ginger Caramel Cake,19,Student,North London
Sophie,8,4,4,IN,Jaffa Millionaire Shortbreads,Bird's Nest Caramel Cake,33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Stacey,8,4,1,IN,Rum Salted Caramel Millionaire Shortbreads,Chocolate and Coffee Caramel Cake,42,Former school teacher,"Radlett, Hertfordshire"
Steven,8,4,7,IN,Orange Macadamia Nut Millionaire Shortbreads,Caramel Crown Cake,34,Marketer,"Watford, Hertfordshire"
Yan,8,4,8,IN,'Lil' Red's Ginger and Nuts' Millionaire Shortbreads,Animals of the Rainforest Caramel Cake,46,Laboratory research scientist,North London
Tom,8,4,5,OUT,Stem Ginger Caramel Shortbreads,Hummingbird Cake,29,Architect,Edinburgh
Kate,8,4,6,STAR BAKER,Salted Bay Caramel Millionaire Shortbreads,Sticky Toffee Apple Caramel Cake,29,Health and safety inspector,Merseyside
Chris,8,4,NA,NA,NA,NA,50,Software developer,Bristol
Flo,8,4,NA,NA,NA,NA,71,Retired,Merseyside
Peter,8,4,NA,NA,NA,NA,52,IT programme manager,"Southend, Essex"
Julia,8,5,3,IN,Orange & Treacle Steamed School Pudding,'Opulent Ornament' Trifle Terrine,21,Aviation Broker,"Crawley, West Sussex"
Kate,8,5,8,IN,'Mr Darcy's Steamy Lake Scene' Steamed School Pudding,'My Great Great Nan's' Raspberry Trifle Terrine,29,Health and safety inspector,Merseyside
Liam,8,5,2,IN,Cherries & Lemons that are 'Baked Well','Cheers Lads' Trifle Terrine,19,Student,North London
Stacey,8,5,4,IN,Bakewell Tart Steamed School Pudding,Tropical Trifle Terrine,42,Former school teacher,"Radlett, Hertfordshire"
Steven,8,5,5,IN,Lemon & Blackcurrant Drizzle Steamed School Pudding,'From Across the Jelly Pond' Trifle Terrine,34,Marketer,"Watford, Hertfordshire"
Yan,8,5,6,IN,Mango Fruit Hat Steamed School Pudding,'Heart of a Hero' Trifle Terrine,46,Laboratory research scientist,North London
James,8,5,7,OUT,Orange and Ginger Steamed School Pudding,'The Missed Silver Jubilee' Trifle Terrine,46,Banker,"Brentwood, Essex"
Sophie,8,5,1,STAR BAKER,"Ginger, Fig and Honey Steamed School Pudding","Raspberry, Yuzu & White Chocolate Bûche Trifle Terrine",33,Former army officer and trainee stuntwoman,"West Molesey, Surrey"
Chris,8,5,NA,NA,NA,NA,50,Software developer,Bristol
